antecedents,consequents,support,confidence,lift
"applicant_age_55-64, reverse_mortgage_1111",debt_to_income_ratio_exempt,0.0027701662099725985,0.9787985865724381,54.1338417398918
"debt_to_income_ratio_exempt, income_bracket_Very High",reverse_mortgage_1111,0.004100246014760885,0.9808612440191385,54.12816734793032
"income_bracket_High, reverse_mortgage_1111",debt_to_income_ratio_exempt,0.0032001920115206912,0.9756097560975611,53.95747895532053
"co_applicant_age_35-44, reverse_mortgage_1111",debt_to_income_ratio_exempt,0.0018901134068044082,0.9742268041237113,53.88099283824469
"applicant_age_65-74, debt_to_income_ratio_exempt",reverse_mortgage_1111,0.0016300978058683521,0.9760479041916168,53.862546430318176
"loan_purpose_2, reverse_mortgage_1111",debt_to_income_ratio_exempt,0.00199011940716443,0.9707317073170734,53.68769156054394
"debt_to_income_ratio_exempt, state_code_pa",reverse_mortgage_1111,0.0010700642038522312,0.9727272727272729,53.6792996187036
"co_applicant_age_55-64, reverse_mortgage_1111",debt_to_income_ratio_exempt,0.0012300738044282657,0.9685039370078741,53.56448156922863
"co_applicant_age_35-44, debt_to_income_ratio_exempt",reverse_mortgage_1111,0.0018901134068044082,0.9692307692307692,53.48634742740703
"construction_method_2, reverse_mortgage_1111",debt_to_income_ratio_exempt,0.0010400624037442247,0.962962962962963,53.25803015404786
"derived_dwelling_category_single family (1-4 units):manufactured, reverse_mortgage_1111",debt_to_income_ratio_exempt,0.0010300618037082225,0.9626168224299064,53.23888636175667
"debt_to_income_ratio_exempt, derived_loan_product_type_conventional:subordinate lien",reverse_mortgage_1111,0.003000180010800648,0.9646302250803859,53.232469495964736
